Site,Trt Unit,Treatment,Scarified,Species,Plant #,Leaves,Grazed,Notes,Leaves_2011,Grazed_2011,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,9,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,10,3,n,,4,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,11,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,12,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,13,0,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,14,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,15,4,y,,5,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,16,3,y,,7,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,17,4,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,18,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,19,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,20,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,21,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,22,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,23,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,24,3,y,,4,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,25,2,y,,4,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,26,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,27,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,28,3,n,,6,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,29,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,30,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,31,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,32,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,33,4,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,34,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,35,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,36,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,37,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,38,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,39,3,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,40,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,41,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,42,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,43,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,44,0,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,45,1,n,,7,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,46,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,47,2,y,,5,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,48,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,49,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,50,0,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,51,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,52,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,53,3,n,,5,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,54,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,55,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,56,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,57,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,58,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,59,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,60,,,,3,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,y,LUSUKI,61,,,,7,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,62,,,,2,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,y,LUSUKI,1,3,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,y,LUSUKI,2,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,3,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,4,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,5,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,6,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,7,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,8,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,9,4,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,10,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,11,3,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,12,4,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,13,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,14,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,15,2,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,16,2,y,,2,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,17,3,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,18,2,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,19,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,20,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,12,MM,n,LUSUKI,21,2,y,,,,,,,,,,,,,,,,,,
