site,trtUnit,treatment,scarified,speciesID,plantID,leaves_2010,grazed_2010,notes_2010,leaves_2011,grazed_2011,notes_2011
Bellfountain,15,SBG,n,LUOR,19,2,n,,,,
Bellfountain,15,SBG,n,LUOR,20,,,,3,n,
Bellfountain,15,SBG,n,LUOR,21,,,,3,n,
Bellfountain,17,Control,y,LUOR,1,3,y,,,,
Bellfountain,17,Control,y,LUOR,2,2,y,,,,
Bellfountain,17,Control,y,LUOR,3,3,y,,,,
Bellfountain,17,Control,y,LUOR,4,2,y,,,,
Bellfountain,17,Control,y,LUOR,5,2,n,,,,
Bellfountain,17,Control,y,LUOR,6,3,n,,,,
Bellfountain,17,Control,y,LUOR,7,2,y,,,,
Bellfountain,17,Control,y,LUOR,8,1,n,,,,
Bellfountain,17,Control,y,LUOR,9,3,n,,,,
Bellfountain,17,Control,y,LUOR,10,3,y,,2,n,
Bellfountain,17,Control,y,LUOR,11,2,n,,,,
Bellfountain,17,Control,y,LUOR,12,2,y,,2,n,
Bellfountain,17,Control,y,LUOR,13,2,n,,,,
Bellfountain,17,Control,n,LUOR,14,2,y,,,,
Bellfountain,17,Control,n,LUOR,15,2,y,,,,
Bellfountain,17,Control,n,LUOR,16,2,n,,,,
Bellfountain,17,Control,n,LUOR,17,2,y,,,,
Bellfountain,17,Control,n,LUOR,18,2,n,,,,
Bellfountain,17,Control,n,LUOR,19,2,y,,,,
Bellfountain,17,Control,n,LUOR,20,3,n,,3,n,
Bellfountain,17,Control,n,LUOR,21,2,y,,,,
Bellfountain,17,Control,n,LUOR,22,3,y,,,,
Bellfountain,17,Control,n,LUOR,23,2,y,,,,
Bellfountain,17,Control,n,LUOR,24,2,y,,4,n,
Bellfountain,17,Control,n,LUOR,25,2,y,,,,
Bellfountain,17,Control,n,LUOR,26,3,y,,,,
Bellfountain,17,Control,n,LUOR,27,2,y,,2,n,
Bellfountain,17,Control,n,LUOR,28,3,y,,7,n,
Bellfountain,17,Control,n,LUOR,29,1,n,,,,
Bellfountain,17,Control,n,LUOR,30,3,y,,4,n,
Bellfountain,17,Control,n,LUOR,31,3,y,,3,n,
Bellfountain,17,Control,n,LUOR,32,2,y,,,,
Bellfountain,17,Control,n,LUOR,33,3,n,,,,
Bellfountain,17,Control,n,LUOR,34,2,y,,3,n,
Bellfountain,17,Control,n,LUOR,35,2,y,,4,n,
Bellfountain,17,Control,n,LUOR,36,2,y,,,,
Bellfountain,17,Control,n,LUOR,37,3,y,,,,
Bellfountain,17,Control,n,LUOR,38,2,y,,,,
Bellfountain,17,Control,n,LUOR,39,3,y,,3,n,
Bellfountain,17,Control,n,LUOR,40,2,y,,,,
Bellfountain,17,Control,n,LUOR,41,2,y,,1,n,
Bellfountain,17,Control,n,LUOR,42,2,y,,5,n,
Bellfountain,17,Control,n,LUOR,43,1,n,,,,
Bellfountain,17,Control,n,LUOR,44,2,y,,6,n,
Bellfountain,17,Control,n,LUOR,45,2,n,,,,
Bellfountain,17,Control,n,LUOR,46,2,y,,3,n,
Bellfountain,17,Control,n,LUOR,47,2,y,,,,
Bellfountain,17,Control,y,LUOR,48,4,n,,,,
Bellfountain,17,Control,y,LUOR,49,2,n,,,,
Bellfountain,17,Control,y,LUOR,50,2,n,,4,n,
Bellfountain,17,Control,y,LUOR,51,3,n,,,,
Bellfountain,17,Control,n,LUOR,52,4,n,,8,n,
Bellfountain,17,Control,n,LUOR,53,2,n,,,,
Bellfountain,17,Control,n,LUOR,54,3,n,,2,n,
Bellfountain,17,Control,n,LUOR,55,4,n,,,,
Bellfountain,17,Control,n,LUOR,56,2,n,,4,n,
Bellfountain,17,Control,n,LUOR,57,3,n,,,,
Bellfountain,17,Control,n,LUOR,58,3,n,,,,
Bellfountain,17,Control,n,LUOR,59,,,,3,n,
Bellfountain,17,Control,n,LUOR,60,,,,4,n,
Bellfountain,17,Control,n,LUOR,61,,,,4,n,
Bellfountain,17,Control,n,LUOR,62,,,,4,n,
Bellfountain,18,SM,n,LUOR,1,3,n,,2,n,
Bellfountain,18,SM,n,LUOR,2,2,n,,2,n,
Bellfountain,18,SM,n,LUOR,3,2,n,,,,
Bellfountain,18,SM,n,LUOR,4,2,n,,,,
Bellfountain,18,SM,n,LUOR,5,2,y,,3,n,
Bellfountain,18,SM,n,LUOR,6,1,n,,2,n,
Bellfountain,18,SM,n,LUOR,7,2,n,,,,
Bellfountain,18,SM,n,LUOR,8,2,n,,,,
Bellfountain,18,SM,n,LUOR,9,2,n,,,,
Bellfountain,18,SM,n,LUOR,10,1,n,,,,
Bellfountain,18,SM,n,LUOR,11,3,n,,,,
Bellfountain,18,SM,n,LUOR,12,2,n,,,,
Bellfountain,18,SM,n,LUOR,13,2,n,,,,
Bellfountain,18,SM,n,LUOR,14,2,n,,,,
Bellfountain,18,SM,n,LUOR,15,1,n,,,,
Bellfountain,18,SM,n,LUOR,16,3,n,,,,
Bellfountain,18,SM,n,LUOR,17,2,n,,,,
Bellfountain,18,SM,n,LUOR,18,1,y,,,,
Bellfountain,18,SM,n,LUOR,19,2,y,,,,
Bellfountain,18,SM,n,LUOR,20,2,n,,,,
Bellfountain,18,SM,y,LUOR,21,2,y,,,,
Bellfountain,18,SM,y,LUOR,22,2,y,,,,
Bellfountain,18,SM,y,LUOR,23,1,y,,,,
Bellfountain,18,SM,y,LUOR,24,3,n,,,,
Bellfountain,18,SM,y,LUOR,25,1,n,,,,
Bellfountain,18,SM,n,LUOR,26,4,n,,2,n,
Bellfountain,20,SBG,y,LUOR,1,3,n,,,,
Bellfountain,20,SBG,y,LUOR,2,1,y,,,,
Bellfountain,20,SBG,y,LUOR,3,1,y,,,,
