"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
133,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,3.50,0.00
134,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,1.10,0.00
135,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,1.60,0.00
136,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,3.00,0.00
137,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,2.60,0.00
138,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,1.10,0.00
139,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,2.80,0.00
140,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,2.60,0.00
141,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.10,0.00
142,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.00,0.00
143,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.30,0.00
144,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.40,0.00
145,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.50,0.00
146,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,1.60,0.00
147,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.50,0.00
148,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.00,0.00
149,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.90,0.00
150,"Hoskins","S","FH-40",6/21/2006 0:00:00,2006,"Joe Buttafuoco",40,0,0,0.30,0.00
151,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,0.00,0.00
